pdp_key,6643.660
pdp_tag,14278.220
pdp_challenge,6.577
pdp_prove,1221.165
pdp_verify,33.431
pdp_key,4524.121
pdp_tag,14226.196
pdp_challenge,6.288
pdp_prove,1242.829
pdp_verify,25.151
pdp_key,20584.042
pdp_tag,14117.698
pdp_challenge,6.156
pdp_prove,1206.088
pdp_verify,25.878
pdp_key,10374.753
pdp_tag,14086.802
pdp_challenge,6.379
pdp_prove,1250.373
pdp_verify,24.960
pdp_key,3019.021
pdp_tag,14109.820
pdp_challenge,6.595
pdp_prove,1263.429
pdp_verify,24.947
pdp_key,20778.046
pdp_tag,14055.654
pdp_challenge,6.368
pdp_prove,1253.373
pdp_verify,24.807
pdp_key,10276.817
pdp_tag,14161.189
pdp_challenge,6.367
pdp_prove,1236.636
pdp_verify,24.687
pdp_key,11751.431
pdp_tag,14371.485
pdp_challenge,6.203
pdp_prove,1232.843
pdp_verify,26.684
pdp_key,9332.980
pdp_tag,14156.207
pdp_challenge,6.672
pdp_prove,1200.731
pdp_verify,24.911
pdp_key,6897.625
pdp_tag,14189.656
pdp_challenge,6.454
pdp_prove,1260.210
pdp_verify,27.766
