pdp_key,12946.121
pdp_tag,175648.581
pdp_challenge,7.484
pdp_prove,9499.556
pdp_verify,27.154
pdp_key,6599.177
pdp_tag,176924.366
pdp_challenge,7.218
pdp_prove,9973.208
pdp_verify,27.306
pdp_key,2145.701
pdp_tag,173721.616
pdp_challenge,6.701
pdp_prove,9625.288
pdp_verify,25.840
pdp_key,23047.266
pdp_tag,176567.910
pdp_challenge,6.456
pdp_prove,9563.932
pdp_verify,26.124
pdp_key,6293.826
pdp_tag,175463.247
pdp_challenge,6.708
pdp_prove,11118.900
pdp_verify,30.813
pdp_key,9587.175
pdp_tag,175328.732
pdp_challenge,6.665
pdp_prove,10207.474
pdp_verify,29.806
pdp_key,39239.269
pdp_tag,175290.557
pdp_challenge,6.515
pdp_prove,10064.951
pdp_verify,26.230
pdp_key,7628.143
pdp_tag,175855.172
pdp_challenge,6.369
pdp_prove,10352.479
pdp_verify,28.308
pdp_key,9688.854
pdp_tag,176154.417
pdp_challenge,6.506
pdp_prove,10524.438
pdp_verify,26.429
pdp_key,5855.046
pdp_tag,176053.679
pdp_challenge,6.574
pdp_prove,9812.753
pdp_verify,26.425
